"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 WT3)","2024-Nov-28 11:44 ± < 00:01","0.01594","0.01587","11.07","11.06","27.6","8.2 m -   18 m","0"
"(2024 WT)","2024-Nov-28 12:44 ± < 00:01","0.00598","0.00598","3.84","3.72","27.2","9.7 m -   22 m","0"
"(2024 WF10)","2024-Nov-28 13:31 ± < 00:01","0.06967","0.06929","18.18","18.18","25.1","26 m -   58 m","0"
"(2022 OC3)","2024-Nov-28 16:34 ±    09:21","0.09809","0.09793","3.31","3.30","28.4","5.6 m -   13 m","0"
"(2024 XC)","2024-Nov-28 17:43 ± < 00:01","0.00814","0.00813","15.06","15.04","26.4","14 m -   31 m","0"
"(2024 WJ11)","2024-Nov-28 17:44 ± < 00:01","0.00374","0.00373","9.98","9.91","27.0","11 m -   24 m","0"
"(2024 XE)","2024-Nov-28 21:09 ±    00:03","0.01768","0.01761","6.73","6.71","27.1","10 m -   23 m","0"
"(2024 XC4)","2024-Nov-28 21:11 ±    00:04","0.00687","0.00684","13.43","13.40","26.8","11 m -   25 m","0"
"(2024 XX9)","2024-Nov-28 23:45 ±    00:02","0.01009","0.01001","5.99","5.94","26.1","16 m -   36 m","0"
"(2024 XR2)","2024-Nov-29 01:12 ± < 00:01","0.08985","0.08965","15.18","15.18","23.9","43 m -   97 m","0"
"(2024 WF5)","2024-Nov-29 04:58 ± < 00:01","0.00112","0.00112","21.39","21.28","28.3","5.8 m -   13 m","0"
"(2024 XE2)","2024-Nov-29 05:05 ± < 00:01","0.02113","0.02098","6.86","6.84","26.6","13 m -   28 m","0"
"(2018 DC4)","2024-Nov-29 07:28 ± 1_03:07","0.04808","0.04217","4.49","4.47","27.3","9.2 m -   21 m","0"
"(2024 XB)","2024-Nov-29 11:39 ± < 00:01","0.00833","0.00833","11.21","11.19","26.1","16 m -   35 m","0"
"(2024 WM1)","2024-Nov-29 12:45 ± < 00:01","0.07669","0.07644","7.25","7.25","25.3","23 m -   51 m","0"
"(2025 KZ8)","2024-Nov-29 13:13 ±    00:19","0.09267","0.09219","10.46","10.46","25.0","26 m -   59 m","0"
"(2024 XM6)","2024-Nov-29 13:28 ±    00:12","0.07912","0.07872","12.61","12.61","24.6","32 m -   71 m","0"
"(2024 XC5)","2024-Nov-29 15:34 ± < 00:01","0.01429","0.01418","20.43","20.42","25.8","19 m -   42 m","0"
"(2024 WZ)","2024-Nov-29 22:50 ± < 00:01","0.00968","0.00966","9.91","9.89","26.9","11 m -   24 m","0"
"(2024 XD11)","2024-Nov-30 01:21 ±    00:01","0.00527","0.00524","3.61","3.47","28.1","6.4 m -   14 m","0"
"(2024 XM2)","2024-Nov-30 03:50 ±    00:39","0.07347","0.07206","6.38","6.38","27.1","10 m -   22 m","0"
"(2019 JN2)","2024-Nov-30 07:47 ± < 00:01","0.02404","0.02404","7.72","7.70","25.6","20 m -   44 m","0"
"(2024 UM13)","2024-Nov-30 08:21 ± < 00:01","0.07523","0.07517","6.26","6.26","25.1","25 m -   56 m","0"
"(2024 WS)","2024-Nov-30 15:38 ± < 00:01","0.01573","0.01570","10.51","10.50","26.5","13 m -   30 m","0"
"(2024 XF1)","2024-Nov-30 17:06 ± < 00:01","0.01152","0.01146","22.79","22.78","25.6","20 m -   45 m","0"
"(2024 XX)","2024-Nov-30 17:26 ± < 00:01","0.00260","0.00260","7.91","7.78","26.7","12 m -   27 m","1"
"(2024 VZ3)","2024-Nov-30 17:29 ± < 00:01","0.09593","0.09584","14.67","14.67","22.2","96 m -  210 m","0"
"(2024 XM)","2024-Nov-30 19:42 ± < 00:01","0.08965","0.08916","23.21","23.21","23.8","46 m -  100 m","0"
"(2024 XM1)","2024-Nov-30 20:35 ± < 00:01","0.01346","0.01337","10.95","10.93","28.1","6.3 m -   14 m","0"
"(2024 XG7)","2024-Nov-30 20:43 ± < 00:01","0.00788","0.00785","6.00","5.94","28.2","6.1 m -   14 m","0"
"(2024 XY2)","2024-Dec-01 02:18 ±    00:02","0.02830","0.02816","6.48","6.47","28.0","6.6 m -   15 m","0"
"(2024 XW11)","2024-Dec-01 02:39 ±    00:04","0.01369","0.01365","4.28","4.24","28.7","4.9 m -   11 m","0"
"(2025 HQ3)","2024-Dec-01 03:35 ±    00:56","0.07906","0.07878","3.48","3.47","26.8","12 m -   26 m","0"
"(2021 WL4)","2024-Dec-01 04:12 ± < 00:01","0.06357","0.06357","10.15","10.14","24.0","42 m -   94 m","0"
"(2024 XK)","2024-Dec-01 05:28 ± < 00:01","0.00255","0.00255","13.79","13.72","28.7","4.9 m -   11 m","0"
"(2024 XT5)","2024-Dec-01 07:23 ±    00:20","0.09662","0.09451","13.88","13.88","25.3","24 m -   53 m","0"
"(2024 XA)","2024-Dec-01 09:46 ± < 00:01","0.00005","0.00005","13.57","8.99","31.6","1.2 m -  2.8 m","0"
"(2024 YD9)","2024-Dec-01 11:21 ±    03:37","0.08596","0.07880","8.87","8.87","25.4","22 m -   50 m","0"
"(2024 XN7)","2024-Dec-01 14:08 ±    00:24","0.00392","0.00390","14.73","14.69","27.2","9.7 m -   22 m","0"
"(2024 XA16)","2024-Dec-01 14:26 ±    00:01","0.03891","0.03854","13.15","13.15","24.8","29 m -   65 m","0"
"(2024 XV2)","2024-Dec-01 17:09 ±    00:07","0.03462","0.03424","9.47","9.47","26.5","13 m -   29 m","0"
"(2024 XB11)","2024-Dec-01 21:14 ±    00:03","0.02313","0.02302","5.12","5.10","28.0","6.8 m -   15 m","0"
"(2024 XJ1)","2024-Dec-01 21:39 ±    00:10","0.03754","0.03729","6.41","6.39","26.8","11 m -   26 m","0"
"(2024 XX2)","2024-Dec-02 00:13 ± < 00:01","0.00795","0.00792","8.32","8.28","26.8","11 m -   25 m","0"
"(2024 WN4)","2024-Dec-02 03:07 ± < 00:01","0.01186","0.01183","11.49","11.47","26.9","11 m -   25 m","0"
"(2024 XK9)","2024-Dec-02 06:19 ±    00:03","0.01528","0.01520","14.03","14.02","25.9","17 m -   39 m","0"
"(2021 XZ)","2024-Dec-02 09:14 ± 1_22:20","0.03376","0.02009","7.40","7.39","28.2","6.1 m -   14 m","0"
"(2024 XC11)","2024-Dec-02 11:43 ±    00:02","0.03628","0.03586","4.85","4.84","26.9","11 m -   25 m","0"
"163899 (2003 SD220)","2024-Dec-02 12:36 ± < 00:01","0.08834","0.08834","5.48","5.48","17.6","0.791±0.025 km","1"
"(2024 XJ)","2024-Dec-02 13:18 ± < 00:01","0.00343","0.00343","5.53","5.38","27.6","8.2 m -   18 m","0"
"(2024 XN16)","2024-Dec-02 17:51 ±    00:27","0.00988","0.00985","9.16","9.13","26.5","13 m -   30 m","0"
"(2024 XC6)","2024-Dec-02 18:34 ± < 00:01","0.03648","0.03605","19.07","19.07","25.4","22 m -   50 m","0"
"(2024 XV3)","2024-Dec-02 22:06 ± < 00:01","0.01011","0.01005","7.77","7.74","28.8","4.7 m -   10 m","0"
"(2024 XZ5)","2024-Dec-02 22:27 ± < 00:01","0.02377","0.02371","8.37","8.36","25.8","18 m -   41 m","0"
"(2024 XH1)","2024-Dec-02 23:46 ± < 00:01","0.00074","0.00074","13.58","13.31","27.7","7.8 m -   17 m","1"
"(2024 XX6)","2024-Dec-03 04:07 ±    00:03","0.06833","0.06745","6.40","6.39","26.1","16 m -   36 m","0"
"(2024 XA4)","2024-Dec-03 13:30 ± < 00:01","0.06353","0.06311","9.00","9.00","25.3","24 m -   53 m","0"
"(2024 XF6)","2024-Dec-03 14:53 ± < 00:01","0.00325","0.00324","8.16","8.06","29.4","3.5 m -  7.8 m","0"
"(2024 XC15)","2024-Dec-03 16:12 ±    00:14","0.00969","0.00965","9.45","9.42","27.2","9.5 m -   21 m","0"
"(2024 XU4)","2024-Dec-03 17:36 ± < 00:01","0.00246","0.00246","6.91","6.75","28.8","4.6 m -   10 m","0"
"(2024 WL6)","2024-Dec-03 18:59 ± < 00:01","0.01008","0.01008","8.21","8.18","26.1","16 m -   35 m","0"
"(2024 XG)","2024-Dec-03 21:04 ± < 00:01","0.00791","0.00789","7.55","7.51","28.6","5.0 m -   11 m","0"
"(2024 XH16)","2024-Dec-03 22:20 ±    00:03","0.09804","0.09521","8.44","8.44","24.3","37 m -   82 m","0"
"447755 (2007 JX2)","2024-Dec-03 23:16 ± < 00:01","0.03698","0.03698","12.22","12.22","19.7","310 m -  690 m","1"
"(2024 TS8)","2024-Dec-04 04:21 ± < 00:01","0.06345","0.06345","5.17","5.16","23.1","65 m -  150 m","0"
"792156 (2020 XR)","2024-Dec-04 05:27 ± < 00:01","0.01477","0.01477","12.31","12.29","19.7","310 m -  690 m","2"
"(2024 XH)","2024-Dec-04 06:31 ± < 00:01","0.00223","0.00223","11.08","10.97","27.3","9.0 m -   20 m","0"
"(2024 WC18)","2024-Dec-04 07:44 ± < 00:01","0.01100","0.01099","7.77","7.74","25.8","18 m -   41 m","0"
"(2024 XG1)","2024-Dec-04 09:00 ± < 00:01","0.06499","0.06474","12.33","12.33","23.8","46 m -  100 m","0"
"(2024 XP15)","2024-Dec-04 11:55 ± < 00:01","0.03655","0.03632","14.02","14.02","24.9","28 m -   62 m","0"
"(2024 XQ3)","2024-Dec-04 15:35 ± < 00:01","0.00020","0.00020","8.59","6.89","32.1","1.0 m -  2.3 m","0"
"(2024 XZ2)","2024-Dec-04 18:44 ±    00:02","0.04437","0.04388","15.90","15.90","26.4","14 m -   31 m","0"
"(2024 SB12)","2024-Dec-04 19:11 ± < 00:01","0.05140","0.05140","6.28","6.27","23.6","51 m -  110 m","0"
"(2024 WO1)","2024-Dec-04 20:03 ± < 00:01","0.03012","0.02999","4.34","4.32","27.0","11 m -   24 m","0"
"(2024 YW)","2024-Dec-04 21:09 ±    00:06","0.09474","0.09385","18.57","18.57","23.1","64 m -  140 m","0"
"(2024 XY11)","2024-Dec-04 21:11 ± < 00:01","0.01705","0.01695","11.75","11.74","26.8","12 m -   26 m","0"
"(2024 XC2)","2024-Dec-04 22:09 ± < 00:01","0.01432","0.01430","4.35","4.31","27.5","8.5 m -   19 m","0"
"(2024 WL11)","2024-Dec-04 22:38 ±    00:04","0.01249","0.01245","8.51","8.49","27.1","10 m -   23 m","0"
"(2021 WA5)","2024-Dec-05 00:02 ± 6_08:03","0.02513","0.00004","5.92","5.90","27.3","9.3 m -   21 m","0"
"(2024 XO15)","2024-Dec-05 00:09 ±    00:01","0.01779","0.01765","12.13","12.12","25.7","20 m -   44 m","0"
"(2024 WT1)","2024-Dec-05 04:56 ±    00:05","0.06123","0.06076","6.00","5.99","25.4","22 m -   49 m","0"
"(2024 XB17)","2024-Dec-05 06:31 ±    00:02","0.09201","0.09166","9.95","9.94","23.9","44 m -   98 m","0"
"(2024 XW3)","2024-Dec-05 07:24 ±    00:01","0.04283","0.04239","5.97","5.96","26.7","12 m -   27 m","0"
"(2024 WA22)","2024-Dec-05 14:46 ± < 00:01","0.01450","0.01449","2.62","2.55","27.3","9.1 m -   20 m","0"
"(2025 MU34)","2024-Dec-05 15:49 ±    00:02","0.06486","0.06486","4.40","4.39","24.4","35 m -   78 m","0"
"(2024 WY1)","2024-Dec-05 17:47 ±    00:01","0.07956","0.07866","11.49","11.48","25.4","22 m -   50 m","0"
"(2024 YB)","2024-Dec-05 18:27 ± < 00:01","0.02297","0.02296","4.60","4.57","25.5","21 m -   46 m","0"
"(2024 WG5)","2024-Dec-05 21:07 ± < 00:01","0.03058","0.03037","9.76","9.75","26.0","17 m -   38 m","0"
"(2021 XN4)","2024-Dec-05 22:17 ± < 00:01","0.04507","0.04507","13.29","13.28","23.8","45 m -  100 m","0"
"(2024 WB1)","2024-Dec-05 23:40 ± < 00:01","0.04899","0.04890","5.81","5.80","26.1","16 m -   37 m","0"
"(2024 YK2)","2024-Dec-06 03:58 ±    00:01","0.06214","0.06119","12.92","12.92","25.4","22 m -   49 m","0"
"(2024 WH6)","2024-Dec-06 09:47 ± < 00:01","0.01602","0.01597","11.96","11.95","27.2","9.6 m -   21 m","0"
"(2024 XB1)","2024-Dec-06 12:43 ± < 00:01","0.00584","0.00582","6.86","6.79","27.6","8.0 m -   18 m","0"
"(2024 XT8)","2024-Dec-06 20:07 ±    00:01","0.03626","0.03604","9.43","9.42","25.5","21 m -   47 m","0"
"(2024 XA6)","2024-Dec-06 21:49 ± < 00:01","0.00020","0.00020","16.19","15.33","26.5","13 m -   30 m","3"
"(2024 XO16)","2024-Dec-06 23:17 ± < 00:01","0.03115","0.03086","13.30","13.29","25.3","23 m -   51 m","0"
"(2024 XY15)","2024-Dec-06 23:30 ±    00:01","0.00805","0.00801","10.93","10.90","25.8","18 m -   40 m","0"
"(2024 XB3)","2024-Dec-07 01:05 ±    00:14","0.02247","0.02225","7.34","7.33","28.0","6.7 m -   15 m","0"
"(2024 XT18)","2024-Dec-07 02:38 ±    00:04","0.01771","0.01756","7.74","7.72","27.1","9.9 m -   22 m","0"
"(2024 XS2)","2024-Dec-07 02:47 ±    00:01","0.00131","0.00131","7.57","7.30","29.3","3.7 m -  8.2 m","0"
"(2024 XK6)","2024-Dec-07 03:09 ± < 00:01","0.00541","0.00540","3.23","3.08","30.6","2.1 m -  4.6 m","0"
"(2024 XZ15)","2024-Dec-07 03:15 ± < 00:01","0.00652","0.00647","13.29","13.26","26.5","13 m -   30 m","0"
"(2024 WG3)","2024-Dec-07 03:56 ± < 00:01","0.04699","0.04686","6.46","6.45","24.9","27 m -   61 m","0"
"(2024 XD3)","2024-Dec-07 07:35 ±    03:50","0.07667","0.07500","7.44","7.44","26.4","14 m -   31 m","0"
"(2024 YJ2)","2024-Dec-07 14:15 ±    00:03","0.09896","0.09843","14.41","14.41","22.1","100 m -  230 m","0"
"(2024 XV11)","2024-Dec-07 14:47 ± < 00:01","0.00154","0.00154","9.70","9.52","29.3","3.7 m -  8.3 m","0"
"(2024 XJ3)","2024-Dec-07 16:12 ± < 00:01","0.01074","0.01072","7.61","7.58","27.4","8.8 m -   20 m","0"
"(2024 XE6)","2024-Dec-07 18:02 ± < 00:01","0.00825","0.00820","18.12","18.11","28.1","6.4 m -   14 m","0"
"(2024 WH12)","2024-Dec-07 19:57 ± < 00:01","0.01539","0.01535","6.87","6.84","26.9","11 m -   24 m","0"
"(2024 XL6)","2024-Dec-07 21:12 ±    02:25","0.03771","0.03686","6.94","6.93","27.1","10 m -   23 m","0"
"(2024 XP4)","2024-Dec-08 04:11 ± < 00:01","0.03104","0.03067","12.87","12.87","25.6","21 m -   46 m","0"
"(2024 YE1)","2024-Dec-08 08:50 ± < 00:01","0.05453","0.05446","8.18","8.17","24.1","40 m -   90 m","0"
"(2024 XR15)","2024-Dec-08 15:38 ± < 00:01","0.01471","0.01466","8.81","8.79","26.0","17 m -   37 m","0"
"(2024 WH11)","2024-Dec-08 16:02 ± < 00:01","0.03977","0.03946","12.21","12.20","25.5","21 m -   47 m","0"
"(2024 XP16)","2024-Dec-08 17:32 ± < 00:01","0.00109","0.00109","5.19","4.69","28.3","5.9 m -   13 m","0"
"(2024 XT)","2024-Dec-08 20:34 ± < 00:01","0.01918","0.01899","14.77","14.76","27.0","10 m -   23 m","0"
"(2024 UU3)","2024-Dec-08 20:46 ± < 00:01","0.04332","0.04328","4.80","4.79","24.7","31 m -   69 m","0"
"(2024 XU6)","2024-Dec-08 23:03 ±    00:02","0.02484","0.02459","7.84","7.82","28.2","6.2 m -   14 m","0"
"(2024 XH3)","2024-Dec-09 05:21 ± < 00:01","0.00620","0.00619","8.45","8.40","27.7","7.6 m -   17 m","0"
"797937 (2011 XM1)","2024-Dec-09 06:04 ± < 00:01","0.09659","0.09659","12.63","12.63","19.6","320 m -  720 m","1"
"(2024 VE13)","2024-Dec-09 09:36 ± < 00:01","0.04611","0.04606","10.16","10.16","23.7","49 m -  110 m","0"
"(2024 XL2)","2024-Dec-09 12:46 ± < 00:01","0.08874","0.08837","10.12","10.12","24.6","31 m -   70 m","0"
"(2024 WV51)","2024-Dec-09 14:46 ± < 00:01","0.00466","0.00466","23.53","23.51","25.1","25 m -   56 m","1"
"(2024 XG2)","2024-Dec-09 15:04 ± < 00:01","0.02276","0.02257","12.03","12.02","27.4","8.7 m -   19 m","0"
"(2024 VH3)","2024-Dec-09 15:22 ± < 00:01","0.06179","0.06165","9.77","9.76","24.2","39 m -   86 m","0"
"(2024 XG10)","2024-Dec-09 17:04 ± < 00:01","0.01327","0.01321","5.89","5.86","27.1","9.9 m -   22 m","0"
"(2024 XP2)","2024-Dec-09 17:17 ± < 00:01","0.04100","0.04073","21.25","21.25","24.5","33 m -   73 m","0"
"(2024 XT16)","2024-Dec-09 19:49 ±    00:02","0.00421","0.00420","11.94","11.89","26.7","12 m -   27 m","0"
"(2021 XB6)","2024-Dec-09 20:26 ± < 00:01","0.01368","0.01368","15.38","15.36","24.1","41 m -   92 m","1"
"(2024 YC26)","2024-Dec-09 22:37 ±    00:07","0.06168","0.06135","11.67","11.66","24.8","29 m -   64 m","0"
"(2024 WZ13)","2024-Dec-10 11:13 ± < 00:01","0.01775","0.01755","8.87","8.85","26.3","15 m -   33 m","0"
"(2024 XM4)","2024-Dec-10 14:10 ±    00:01","0.06172","0.06159","3.81","3.80","25.5","22 m -   48 m","0"
"(2024 XA17)","2024-Dec-10 20:46 ± < 00:01","0.04389","0.04379","15.32","15.32","23.6","51 m -  110 m","0"
"(2024 WS17)","2024-Dec-10 20:59 ± < 00:01","0.01208","0.01205","8.27","8.25","26.7","12 m -   28 m","0"
"(2024 XL11)","2024-Dec-11 00:00 ± < 00:01","0.00791","0.00787","11.02","10.98","28.8","4.7 m -   10 m","0"
"(2024 XJ5)","2024-Dec-11 01:47 ±    00:01","0.05074","0.04986","10.90","10.89","25.6","20 m -   46 m","0"
"(2024 XZ11)","2024-Dec-11 06:30 ± < 00:01","0.03147","0.03137","10.64","10.63","25.9","17 m -   39 m","0"
"(2018 XU3)","2024-Dec-11 08:27 ± < 00:01","0.04306","0.04306","10.78","10.78","25.5","21 m -   48 m","0"
"(2024 XK1)","2024-Dec-11 09:08 ± < 00:01","0.01249","0.01243","7.48","7.45","27.9","7.1 m -   16 m","0"
"(2024 WB14)","2024-Dec-11 09:34 ± < 00:01","0.04620","0.04617","6.46","6.45","25.6","21 m -   46 m","0"
"(2019 XQ1)","2024-Dec-11 11:47 ± 1_12:05","0.08574","0.04181","11.57","11.57","25.3","23 m -   51 m","0"
"(2007 XB23)","2024-Dec-11 13:43 ± < 00:01","0.00592","0.00592","4.68","4.58","27.1","10 m -   23 m","0"
"(2024 YA6)","2024-Dec-11 18:48 ±    00:21","0.01297","0.01284","8.15","8.13","25.4","22 m -   49 m","0"
"(2024 YO2)","2024-Dec-11 21:53 ±    00:04","0.01733","0.01723","10.47","10.45","25.6","20 m -   44 m","0"
"(2024 XS16)","2024-Dec-11 22:16 ± < 00:01","0.00032","0.00032","18.60","18.15","30.4","2.2 m -  4.9 m","0"
"(2024 WP11)","2024-Dec-12 01:47 ± < 00:01","0.04005","0.03976","8.62","8.61","26.0","17 m -   37 m","0"
"(2024 XS)","2024-Dec-12 02:32 ± < 00:01","0.02136","0.02114","25.60","25.60","25.4","22 m -   50 m","0"
"(2022 EC4)","2024-Dec-12 09:58 ± 7_14:18","0.09366","0.03170","12.74","12.74","26.3","14 m -   32 m","0"
"(2024 XF9)","2024-Dec-12 20:08 ± < 00:01","0.00514","0.00514","6.52","6.44","28.1","6.5 m -   15 m","0"
"(2024 WD18)","2024-Dec-13 00:15 ± < 00:01","0.05110","0.05104","8.99","8.98","25.2","24 m -   53 m","0"
"(2024 YX3)","2024-Dec-13 02:17 ±    00:01","0.02955","0.02944","6.88","6.86","26.8","12 m -   26 m","0"
"(2021 XS4)","2024-Dec-13 03:35 ±    10:42","0.08611","0.06247","10.93","10.92","26.0","17 m -   38 m","0"
"(2024 XW15)","2024-Dec-13 04:11 ± < 00:01","0.04341","0.04330","11.57","11.57","23.6","50 m -  110 m","0"
"(2024 YO)","2024-Dec-13 06:42 ± < 00:01","0.01800","0.01795","7.80","7.78","25.5","21 m -   47 m","0"
"(2024 XY18)","2024-Dec-13 11:39 ± < 00:01","0.03665","0.03651","19.58","19.58","23.6","50 m -  110 m","0"
"(2024 XC16)","2024-Dec-13 15:38 ± < 00:01","0.03530","0.03483","20.68","20.68","25.2","24 m -   53 m","0"
"(2016 AO131)","2024-Dec-13 17:13 ± < 00:01","0.06047","0.06047","3.80","3.79","24.3","37 m -   82 m","0"
"(2024 YE5)","2024-Dec-13 22:47 ±    00:02","0.02542","0.02524","14.85","14.84","24.5","33 m -   74 m","0"
"(2024 YL16)","2024-Dec-14 02:59 ±    00:05","0.07637","0.07519","7.72","7.72","24.8","29 m -   65 m","0"
"(2024 WM2)","2024-Dec-14 08:07 ± < 00:01","0.06248","0.06237","8.55","8.55","23.9","43 m -   97 m","0"
"(2024 YB4)","2024-Dec-14 09:43 ±    00:03","0.03317","0.03222","12.71","12.70","26.1","16 m -   35 m","0"
"(2024 YL4)","2024-Dec-14 14:05 ±    00:09","0.02643","0.02633","1.81","1.76","27.8","7.4 m -   17 m","0"
"(2024 XD15)","2024-Dec-14 14:26 ± < 00:01","0.06390","0.06387","8.56","8.55","23.4","56 m -  130 m","0"
"(2024 YY1)","2024-Dec-14 23:39 ± < 00:01","0.06800","0.06736","20.74","20.73","22.5","85 m -  190 m","0"
"(2024 XU9)","2024-Dec-14 23:45 ± < 00:01","0.03486","0.03451","16.32","16.32","25.1","25 m -   56 m","0"
"(2024 XY3)","2024-Dec-15 01:01 ± < 00:01","0.08207","0.08159","7.77","7.76","24.4","35 m -   79 m","0"
"(2024 XB16)","2024-Dec-15 05:40 ±    00:03","0.01397","0.01387","7.83","7.81","26.9","11 m -   25 m","0"
"(2024 XF4)","2024-Dec-15 08:58 ± < 00:01","0.04677","0.04663","14.50","14.49","23.8","47 m -  110 m","0"
"(2024 YG)","2024-Dec-15 12:50 ± < 00:01","0.06732","0.06662","13.92","13.91","23.4","57 m -  130 m","0"
"(2024 YT)","2024-Dec-15 21:50 ± < 00:01","0.03444","0.03411","11.44","11.43","26.5","14 m -   30 m","0"
"(2024 XY5)","2024-Dec-16 00:26 ± < 00:01","0.02340","0.02327","4.83","4.81","26.0","17 m -   38 m","0"
"(2024 XB6)","2024-Dec-16 01:55 ±    00:12","0.04470","0.04418","6.61","6.60","26.5","13 m -   30 m","0"
"(2025 AP)","2024-Dec-16 02:05 ± < 00:01","0.06235","0.06233","5.13","5.12","24.5","34 m -   76 m","0"
"(2024 XU7)","2024-Dec-16 02:30 ±    00:02","0.06601","0.06473","11.01","11.01","25.7","19 m -   43 m","0"
"(2024 YO1)","2024-Dec-16 13:36 ±    00:09","0.00624","0.00621","14.21","14.18","28.1","6.3 m -   14 m","0"
"(2024 YN)","2024-Dec-16 15:52 ±    00:39","0.00698","0.00687","19.25","19.23","27.3","9.4 m -   21 m","0"
"(2024 XV6)","2024-Dec-16 16:34 ±    00:14","0.04475","0.04240","10.73","10.73","27.6","8.0 m -   18 m","0"
"(2024 XE16)","2024-Dec-16 23:11 ± < 00:01","0.04519","0.04518","3.68","3.66","24.9","28 m -   62 m","0"
"(2024 VE7)","2024-Dec-16 23:57 ± < 00:01","0.01866","0.01866","8.04","8.02","24.3","36 m -   81 m","0"
"(2024 YL)","2024-Dec-17 03:22 ± < 00:01","0.00569","0.00569","3.30","3.16","29.2","3.8 m -  8.4 m","0"
"(2024 YR)","2024-Dec-17 03:53 ± < 00:01","0.09326","0.09320","22.09","22.09","21.7","120 m -  280 m","0"
"(2022 YT3)","2024-Dec-17 13:39 ± 3_18:49","0.08352","0.05320","8.38","8.37","25.8","18 m -   41 m","0"
"(2022 YO1)","2024-Dec-17 15:40 ±    15:24","0.00506","0.00004","14.33","14.30","30.0","2.6 m -  5.9 m","0"
"(2024 XR6)","2024-Dec-17 22:49 ± < 00:01","0.03914","0.03897","5.61","5.59","26.7","12 m -   27 m","0"
"(2024 XC17)","2024-Dec-17 22:53 ±    00:03","0.02081","0.02069","4.80","4.77","27.4","9.0 m -   20 m","0"
"(2024 WF18)","2024-Dec-18 00:05 ± < 00:01","0.07883","0.07868","6.79","6.78","24.2","38 m -   84 m","0"
"(2024 XS3)","2024-Dec-18 01:54 ± < 00:01","0.02238","0.02222","10.47","10.46","25.7","19 m -   43 m","0"
"(2024 YK1)","2024-Dec-18 08:09 ±    00:03","0.06672","0.06629","8.45","8.44","25.0","27 m -   60 m","0"
"(2024 XH2)","2024-Dec-18 15:44 ±    00:02","0.06482","0.06384","9.98","9.97","23.9","45 m -  100 m","0"
"(2024 YG5)","2024-Dec-18 16:04 ± < 00:01","0.01740","0.01734","9.30","9.28","25.6","20 m -   46 m","0"
"(2024 YU5)","2024-Dec-18 19:54 ± < 00:01","0.03029","0.03013","11.49","11.48","24.9","27 m -   61 m","0"
"(2024 YM2)","2024-Dec-18 22:12 ± < 00:01","0.02237","0.02226","10.31","10.30","26.8","12 m -   26 m","0"
"458122 (2010 EW45)","2024-Dec-19 14:48 ± < 00:01","0.05470","0.05470","19.94","19.94","17.6","820 m -  1.8 km","2"
"(2024 YV2)","2024-Dec-19 16:00 ± < 00:01","0.05257","0.05246","7.79","7.79","25.1","25 m -   56 m","0"
"(2017 XQ60)","2024-Dec-19 16:33 ± < 00:01","0.08746","0.08745","16.61","16.61","24.5","33 m -   75 m","0"
"(2024 YM)","2024-Dec-19 17:05 ± < 00:01","0.00151","0.00151","10.30","10.12","27.4","8.8 m -   20 m","1"
"(2024 YA)","2024-Dec-19 22:41 ± < 00:01","0.00935","0.00934","5.26","5.21","26.7","12 m -   28 m","0"
"(2020 XY4)","2024-Dec-20 00:01 ± < 00:01","0.03259","0.03259","8.80","8.79","26.9","11 m -   24 m","0"
"(2024 YG4)","2024-Dec-20 00:29 ± < 00:01","0.07592","0.07546","18.81","18.81","24.5","33 m -   73 m","0"
"(2024 YF)","2024-Dec-20 05:14 ± < 00:01","0.06339","0.06334","10.68","10.67","24.2","39 m -   88 m","0"
"(2024 YT8)","2024-Dec-20 10:46 ± < 00:01","0.03051","0.03022","5.65","5.63","27.1","10 m -   22 m","0"
"(2024 YC5)","2024-Dec-20 15:23 ± < 00:01","0.06772","0.06764","7.53","7.53","23.6","51 m -  110 m","0"
"(2024 YP7)","2024-Dec-20 16:18 ±    00:01","0.03559","0.03547","7.87","7.87","26.1","16 m -   36 m","0"
"(2024 YD)","2024-Dec-20 16:46 ± < 00:01","0.00309","0.00309","10.55","10.47","27.3","9.0 m -   20 m","0"
"(2024 YW4)","2024-Dec-20 23:02 ± < 00:01","0.07020","0.07011","8.88","8.88","23.1","64 m -  140 m","0"
"(2024 YD1)","2024-Dec-21 05:31 ± < 00:01","0.09579","0.09495","20.03","20.03","23.8","45 m -  100 m","0"
"(2024 YN4)","2024-Dec-21 06:10 ± < 00:01","0.08009","0.07973","13.92","13.92","24.7","31 m -   70 m","0"
"(2024 XN15)","2024-Dec-21 09:08 ± < 00:01","0.02526","0.02519","9.74","9.73","26.1","16 m -   35 m","0"
"(2024 XQ4)","2024-Dec-21 09:33 ± < 00:01","0.00706","0.00703","13.23","13.20","26.4","14 m -   31 m","0"
"(2025 AK1)","2024-Dec-21 18:32 ± < 00:01","0.06300","0.06297","7.17","7.16","23.9","44 m -   98 m","0"
"(2024 YW5)","2024-Dec-21 23:22 ± < 00:01","0.02332","0.02309","7.04","7.03","26.0","16 m -   37 m","0"
"(2024 YY3)","2024-Dec-22 03:31 ± < 00:01","0.07627","0.07623","23.47","23.47","21.0","170 m -  370 m","0"
"(2024 YY9)","2024-Dec-22 05:30 ±    00:16","0.03887","0.03849","11.86","11.85","24.9","28 m -   63 m","0"
